gene_id,Control1_NP,Control2_NP,Control3_NP,Control4_NP,Control1_P,Control2_P,Control3_P,Control4_P,EE1_P,EE2_P,EE3_P,EE4_P
MSTRG.4178,0,0,0,0,15,0,0,0,0,0,0,0
MSTRG.21128,49,45,56,41,86,40,22,58,54,13,37,17
MSTRG.20143,1973,2153,2075,1801,1768,1311,1517,4619,3845,2731,1715,2467
MSTRG.20142,147,138,78,80,66,84,81,276,289,178,84,159
MSTRG.20141,0,0,0,0,0,93,0,0,0,0,0,0
MSTRG.20140,4196,4821,4408,3908,3036,2254,3075,7698,6395,5086,2962,5007
MSTRG.20147,63,24,112,32,23,36,92,274,152,152,20,36
MSTRG.20146,69,50,57,30,29,193,41,52,92,0,54,15
MSTRG.20145,13353,12105,11188,10639,9198,8710,6736,26149,26024,12342,10553,11641
MSTRG.20144,1174,1229,1125,946,883,912,964,2677,2628,1445,954,1367
MSTRG.13226,0,0,0,2,0,0,28,2,8,0,2,7
MSTRG.3173,80,44,60,66,88,106,37,143,252,92,112,103
MSTRG.20149,9,0,20,7,0,4,7,33,26,10,0,28
MSTRG.20148,201,41,65,24,25,15,19,52,49,30,31,54
MSTRG.17558,330,527,574,335,381,300,224,1048,876,570,336,526
MSTRG.17934,976,1029,839,797,655,641,576,1723,1723,1155,630,1004
MSTRG.4551,943,844,1038,528,1143,650,718,2267,1518,1101,1218,825
MSTRG.7272,51,40,15,20,10,0,24,24,8,14,39,0
MSTRG.4559,376,384,334,272,301,268,274,956,614,360,330,430
MSTRG.2812,2219,1042,906,1205,1608,996,1132,3801,3191,1371,1720,2018
MSTRG.11748,2,0,2,0,0,3,0,7,10,4,143,7
MSTRG.4177,768,589,254,277,491,282,333,892,1019,704,486,489
MSTRG.9873,8,5,0,0,0,0,0,7,5,0,0,0
MSTRG.15433,23,14,0,37,39,24,7,114,17,76,21,54
MSTRG.15432,68,13,24,22,7,22,12,70,48,34,24,24
MSTRG.15923,188,70,65,21,28,123,203,37,53,33,37,13
MSTRG.15922,398,426,473,346,311,358,317,725,670,502,298,386
MSTRG.15437,4573,5118,5254,2856,5050,4460,3434,14628,12545,8148,6025,6763
MSTRG.15388,186,120,53,125,134,104,156,307,297,218,96,193
MSTRG.15435,19,11,12,55,13,19,13,25,21,19,6,13
MSTRG.15926,2239,1597,1494,1653,1536,1485,1480,4108,4429,2030,1696,2098
MSTRG.15385,1729,2230,1587,2341,1358,961,1182,3763,3668,2682,1315,2600
MSTRG.9703,19,20,28,31,24,29,29,86,66,30,23,31
MSTRG.15387,726,974,919,550,772,534,601,1591,1339,960,626,965
MSTRG.15438,559,672,612,505,449,426,339,1320,1299,668,377,457
MSTRG.15381,453,371,278,321,507,187,412,718,970,428,522,402
MSTRG.15380,306,204,167,364,235,228,254,645,416,259,210,283
MSTRG.15383,1088,1489,827,944,558,750,459,1921,1974,927,612,1201
MSTRG.9874,0,6,11,0,0,0,0,0,5,0,0,0
MSTRG.10603,41,63,61,119,66,133,97,678,312,59,62,36
MSTRG.14383,3922,2545,2906,3462,2331,4383,1813,6239,5215,2504,1945,3184
MSTRG.10601,126,103,72,88,40,150,55,106,288,162,119,108
MSTRG.10600,6848,6442,6176,6262,5515,5080,3580,14741,15402,5942,6130,6741
MSTRG.10607,372,340,376,355,790,488,676,2259,2615,1107,758,915
MSTRG.14387,1079,932,780,652,591,595,649,1544,704,947,617,934
MSTRG.10605,812,859,895,667,691,559,442,1847,1884,904,705,756
MSTRG.14385,5572,2750,2302,3608,2551,1573,1656,6845,8206,2536,2340,3454
MSTRG.10355,1638,1488,1161,1140,2578,1496,1184,2871,3873,1649,1458,2015
MSTRG.10354,600,780,505,927,765,806,466,1922,2883,1095,729,1064
