"","logFC","logCPM","F","PValue","FDR"
"MSTRG.8967",-1.71075968640741,2.51840826556081,35.9984892147786,0.000177767420342839,0.0271400132086255
"MSTRG.12306",-3.5635510223063,1.44600383126615,35.1638994318792,0.000180909524094207,0.0271400132086255
"MSTRG.17554",-1.06353511370269,5.2712762019022,35.7270864370014,0.000182148037693882,0.0271400132086255
"MSTRG.9620",0.952191899635351,6.91154694209169,35.6477114311292,0.000183657632600056,0.0271400132086255
"MSTRG.12655",-2.94349186796742,4.70635260521802,35.6210041237707,0.000184338557140645,0.0271400132086255
"MSTRG.4086",-1.17655579676235,3.03739318446718,35.5918732527813,0.000185028310223655,0.0271400132086255
"MSTRG.14372",1.47259972418465,6.90909366991753,35.0340698366623,0.000196069382101391,0.0283741537515256
"MSTRG.18575",-1.04287711727652,5.67169266688294,35.0090585609425,0.000196613303447285,0.0283741537515256
"MSTRG.20492",-0.614581276092609,7.39372506205281,34.5990179130762,0.000205489043092947,0.0294178114091862
"MSTRG.14892",-1.98672050356203,2.79147884465901,34.5194778551276,0.000208047384164342,0.0295184594328677
"MSTRG.18047",1.57848270264748,4.06670501679337,34.4279175140964,0.000209491162222643,0.0295184594328677
"MSTRG.6413",-1.11385659202181,4.36527048092267,34.2033480691492,0.00021461136075888,0.0298005468512942
"MSTRG.9540",-1.87534730752388,1.67110622278811,34.3816768545812,0.000214823724158533,0.0298005468512942
"MSTRG.1593",-1.57342316676809,3.03501155193606,34.0859553731253,0.000217739780288893,0.0299727182174596
"MSTRG.9897",0.661585881354097,7.53264555338383,33.6610342900713,0.000227742819449904,0.0305154348208861
"MSTRG.16318",0.634460532379024,5.87225589874623,33.6230688203814,0.000228714190727214,0.0305154348208861
"MSTRG.4545",1.20949601333403,2.94083802551275,33.5788509534733,0.000230306793827548,0.0305154348208861
"MSTRG.1079",2.64043752169049,5.72915955466511,33.5185950255233,0.000231431366758786,0.0305154348208861
"MSTRG.15658",-0.666626972467209,6.1240548460844,33.3979610534997,0.000234504767510654,0.0305154348208861
"MSTRG.20247",0.633575236743008,6.64375652458947,33.3843629047172,0.00023486012703637,0.0305154348208861
"MSTRG.15245",-1.84456145739926,1.61904305536241,33.5598491207943,0.000235315184829562,0.0305154348208861
"MSTRG.9530",0.925444951143452,7.03908755644983,33.3666593574984,0.000235324392583531,0.0305154348208861
"MSTRG.3792",0.876280158491322,7.32128545336022,32.92241974322,0.000247354964568661,0.0318154545731296
"MSTRG.2563",-2.85615059108797,6.8263829511328,32.7847838299907,0.000251254836202109,0.0318154545731296
"MSTRG.12713",-1.03895800307605,7.59168249699414,32.7685796780705,0.000251694580597578,0.0318154545731296
"MSTRG.3650",0.931065526559876,3.20102830866498,32.7525552539005,0.000252461276858587,0.0318154545731296
"MSTRG.1144",1.70159720301056,3.31005760585168,32.6209366704838,0.00025643039146721,0.031949929343541
"MSTRG.7453",-1.29259468956268,5.6473171713806,32.5822087607708,0.000257099179964789,0.031949929343541
"MSTRG.17761",-0.959641639295724,3.73104488701678,32.142767372122,0.000270489871991837,0.0329916044844157
"MSTRG.17138",-1.86717143442001,2.56546832770369,32.1653043239137,0.000270816806733933,0.0329916044844157
"MSTRG.1968",-0.603266137406811,8.02383854856772,32.101742877135,0.000271610857529108,0.0329916044844157
"MSTRG.13752",2.86113837889605,3.89868843796273,32.085980324379,0.000272855963324589,0.0329916044844157
"MSTRG.16976",0.687774921890067,5.67546647421519,31.6764576363701,0.000285335821827928,0.0342690237020857
"MSTRG.11733",-0.748029904481633,3.92276161028898,31.3542387383151,0.000296394210635867,0.0351398360247982
